SCP	Rating	Comments	Created1 Created2 Created3 Created4
SCP-670	294	35	18 Aug 2011, 15:49
SCP-737	167	32	20 Aug 2011, 07:10
SCP-753	302	41	21 Aug 2011, 07:03
SCP-777	125	22	21 Aug 2011, 21:07
SCP-870	433	50	22 Aug 2011, 11:47
SCP-846	438	61	24 Aug 2011, 06:21
SCP-927	54	21	24 Aug 2011, 15:21
SCP-993	1257	194	25 Aug 2011, 13:05
SCP-779	160	33	1 Sep 2011, 13:31
SCP-872	304	62	30 Sep 2011, 17:29
SCP-929	56	19	7 Oct 2011, 17:46
SCP-844	65	16	7 Oct 2011, 20:24
SCP-849	76	24	7 Oct 2011, 21:50
SCP-855	112	23	8 Oct 2011, 04:32
SCP-857	172	29	8 Oct 2011, 14:21
SCP-862	136	32	9 Oct 2011, 14:54
SCP-875	120	15	10 Oct 2011, 13:58
SCP-863	96	20	11 Oct 2011, 14:15
SCP-918	176	38	12 Oct 2011, 14:01
SCP-949	204	51	16 Oct 2011, 14:39
SCP-1002	239	32	19 Oct 2011, 13:53
SCP-1891	116	17	28 Oct 2011, 07:56
SCP-1018	218	23	19 Nov 2011, 15:00
SCP-1154	146	31	23 Jun 2012, 18:34
SCP-1151	202	56	27 Jun 2012, 20:25
SCP-1437	1126	152	25 Aug 2012, 16:30
SCP-1603	193	26	9 Mar 2013, 11:42
SCP-1312	475	78	9 Mar 2013, 19:28
SCP-1592	123	17	10 Mar 2013, 14:56
SCP-1607	183	38	11 Mar 2013, 15:24
SCP-1944	183	38	14 Mar 2013, 15:57
SCP-1319	342	54	16 Mar 2013, 19:33
SCP-1279	201	48	18 Mar 2013, 15:43
SCP-1593	100	21	26 Apr 2013, 12:35
SCP-2384	212	33	14 Dec 2016, 11:51
SCP-2391	162	27	15 Dec 2016, 13:05
SCP-2874	320	31	17 Dec 2016, 12:14
SCP-2536	89	16	18 Dec 2016, 18:31
SCP-2452	57	17	20 Dec 2016, 06:56
SCP-3207	100	13	2 Feb 2018, 09:45
SCP-3318	259	32	4 Feb 2018, 10:50
SCP-3134	31	3	7 Feb 2018, 13:10
